id,name,revenue,employees,founded,biz_type,industry,homepage,last_updated,url
dXF3YmVWRklvN1hPWTdKcEx0SDQ3UT09,(주)블루로봇,,8명,2022년 1월 11일,중소기업,산업용 로봇 제조업,http://bluerobot.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=dXF3YmVWRklvN1hPWTdKcEx0SDQ3UT09
WGZDM2QyZFRGTlNRRCtqQUZkN29QZz09,(주)에임즈인터내셔널코리아,,5명,2006년 7월 13일,중소기업,경영 컨설팅업,http://www.aimskorea.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=WGZDM2QyZFRGTlNRRCtqQUZkN29QZz09
NEowcG8yWFhPdGdQbVJRdDlpUDliZz09,(주) 세다,,10명,,중소기업,,http://sedar.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NEowcG8yWFhPdGdQbVJRdDlpUDliZz09
NC9Rc3ppTnRwUjlabEJIZFJrdVlVdz09,(주)로아스,,48명,2020년 3월 3일,중소기업,산업용 로봇 제조업,http://www.roas.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NC9Rc3ppTnRwUjlabEJIZFJrdVlVdz09
ays0dlhWcWl1YjNwUGx4WjVRaFdodz09,(주)테솔로,,,,중소기업,,http://www.TESOLLO.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=ays0dlhWcWl1YjNwUGx4WjVRaFdodz09
UUxDMGl4d0t3Uk5uYmNONlFRaldqQT09,우일에프에이(주),,11명,2003년 10월 29일,중소기업,전기용 기계ㆍ장비 및 관련 기자재 도매업,http://www.wooilfa.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=UUxDMGl4d0t3Uk5uYmNONlFRaldqQT09
aTc1RVBIZklBZWU4Tzk1VGFWeFFIZz09,(주)클로봇,334억원(2024),134명,2017년 5월 8일,스타트업,응용 소프트웨어 개발 및 공급업,http://www.clobot.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=aTc1RVBIZklBZWU4Tzk1VGFWeFFIZz09
TnJaWENEbHl4am9oRDBvaVEzUmp3UT09,론시스,,,,,"레이더, 항행용 무선기기 및 측량기구 제조업",,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=TnJaWENEbHl4am9oRDBvaVEzUmp3UT09
SXEvUnZ4YTZZdjZTc1dIczhTb0U0QT09,레드원테크놀러지(주),,18명,2005년 5월 31일,스타트업,산업용 로봇 제조업,http://www.redone-technologies.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=SXEvUnZ4YTZZdjZTc1dIczhTb0U0QT09
bmdUaUduZ0RQNDRnaEM1bURNZGJxQT09,장진로보텍,,,,,배전반 및 전기 자동제어반 제조업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=bmdUaUduZ0RQNDRnaEM1bURNZGJxQT09
